lemma,sense_name,definition,example,example_source,contains_word,Notes
popcorn,popcorn.n.01,corn having small ears and kernels that burst when exposed to dry heat,We grow popcorn in the farm,hand_written,TRUE,
run,run.v.24,make without a miss,We had a 10-0 run against the best team,hand_written,TRUE,
pumpkin,pumpkin.n.01,a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes,We had a pumpkin carving contest at school,hand_written,TRUE,
tuna,tuna.n.02,important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks,We had grilled tuna for dinner,hand_written,TRUE,
popcorn,popcorn.n.02,small kernels of corn exploded by heat,We had popcorn at the movies,hand_written,TRUE,
block,blockage.n.02,an obstruction in a pipe or tube,We had to call a plumber to clear out the blockage in the drainpipe,wordnet,TRUE,
cut,cut.v.33,weed out unwanted or unnecessary things,"We had to lose weight, so we cut the sugar from our diet",wordnet,TRUE,
plate,plate.n.02,a sheet of metal or wood or glass or plastic,We had to read all the car number plates,childes,TRUE,
splash,squelch.v.03,walk through mud or mire,We had to splash across the wet meadow,hand_written,TRUE,
stand,stand.v.01,be standing; be upright,We had to stand for the entire performance!,wordnet,TRUE,
swim,swim.v.01,travel through water,We had to swim for 20 minutes to reach the shore,wordnet,TRUE,
catch,catch.v.25,take in and retain,We have a big barrel to catch the rainwater,wordnet,TRUE,
roof,roof.n.01,a protective covering that covers or forms the top of a building,We have a leak in the roof,hand_written,TRUE,
horse,horse.n.02,a padded gymnastic apparatus on legs,We have a new horse in the gym,hand_written,TRUE,
pony,pony.n.01,a range horse of the western United States,We have a pony in our ranch,hand_written,TRUE,
slipper,skidder.n.01,a person who slips or slides because of loss of traction,We have another slipper coming through,hand_written,TRUE,
grapes,grape.n.01,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters,We have grape juice and we have cranberry juice,childes,FALSE,
closet,cupboard.n.01,a small room (or recess) or cabinet used for storage space,We have more cans in the closet,hand_written,FALSE,
dish,dish.n.05,directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation,We have satelite dish on our roof,hand_written,TRUE,
cracker,cracker.n.01,a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet,"We have to have lunch soon, we don't want to eat crackers all day long",childes,TRUE,
push,tug.v.02,strive and make an effort to reach a goal,We have to push a little to make the deadline!,wordnet,TRUE,
stop,intercept.v.01,seize on its way,We have to stop that truck before it get's home,hand_written,TRUE,
hear,hear.v.04,receive a communication from someone,We heard nothing from our son for five years,wordnet,TRUE,
hit,stumble.v.03,encounter by chance,We hit a snowstorm when driving home,hand_written,TRUE,
hit,reach.v.01,"reach a destination, either real or abstract",We hit Detroit by noon,wordnet,TRUE,
hit,hit.v.16,hit the intended target or goal,We hit the sales target for this month,hand_written,TRUE,
lick,cream.v.02,beat thoroughly and conclusively in a competition or fight,We licked the other team on Sunday!,wordnet,TRUE,
look,search.v.02,search or seek,We looked all day and finally found the child in the forest,wordnet,TRUE,
hen,hen.n.03,flesh of an older chicken suitable for stewing,We made a great stew from hen,hand_written,TRUE,
make,take.v.27,head into a specified direction,We made for the mountains,wordnet,FALSE,
hear,listen.v.02,listen and pay attention,We must hear the expert before we make a decision,wordnet,TRUE,
hit,strike.v.04,"make a strategic, offensive, assault against an enemy, opponent, or a target",We must hit the enemy's oil fields,hand_written,TRUE,
fall,fall.v.06,"suffer defeat, failure, or ruin",We must stand or fall,wordnet,TRUE,
walk,walk.v.07,be or act in association with,We must walk with our dispossessed brothers and sisters,wordnet,TRUE,
hand,bridge_player.n.01,a card player in a game of bridge,We need a 4th hand for bridge,wordnet,TRUE,
giraffe,giraffe.n.01,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa,We need a giraffe to watch over them because giraffes have long necks,childes,TRUE,
shovel,power_shovel.n.01,a machine for excavating,We need a power shovel to move this rock,hand_written,TRUE,
book,script.n.01,a written version of a play or other dramatic composition; used in preparing for a performance,We need to be off book by Thursday,hand_written,TRUE,
shoe,horseshoe.n.02,U-shaped plate nailed to underside of horse's hoof,We need to replace my horses shoe,hand_written,TRUE,
talk,talk.v.01,exchange thoughts; talk with,We often talk business,wordnet,TRUE,
paint,paint.v.02,apply paint to; coat with paint,We painted the rooms yellow,wordnet,TRUE,
carrots,carrot.n.02,perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions,We plant carrots in our garden,hand_written,TRUE,
play,play.v.01,participate in games or sport,We played hockey all afternoon,wordnet,TRUE,
pool,pool.n.09,any of various games played on a pool table having 6 pockets,We played pool at the bar,hand_written,TRUE,
pour,pour.v.05,supply in large amounts or quantities,We poured money into the education of our children,wordnet,TRUE,
yard,yard.n.06,a tract of land where logs are accumulated,We put the logs in the yard,hand_written,TRUE,
put,place.v.11,estimate,We put the time of arrival at 8 P. M,wordnet,TRUE,
run,carry.v.15,include as the content; broadcast or publicize,We ran the ad three times,wordnet,FALSE,
sit,sit.v.02,"be around, often idly or without specific purpose",We sat around chatting for another hour,wordnet,FALSE,
bear,bear.n.01,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,We saw a polar bear at the zoo,childes,TRUE,
animal,animal.n.01,a living organism characterized by voluntary movement,We saw animals at the zoo,hand_written,TRUE,
share,partake.v.02,"have, give, or receive a share of",We shared the cake,wordnet,TRUE,
feed,fertilize.v.01,provide with fertilizers or add nutrients to,We should feed soil if we want to grow healthy plants,hand_written,TRUE,
go,go.v.02,follow a procedure or take a course,We should go farther in this matter,wordnet,TRUE,
stand,stand.v.03,"occupy a place or location, also metaphorically",We stand on common ground,wordnet,TRUE,
stop,stop.v.04,interrupt a trip,We stopped at Aunt Mary's house,wordnet,TRUE,
crib,crib.n.03,a bin or granary for storing grains,We store the grains in the crib,hand_written,TRUE,
take,subscribe.v.05,receive or obtain regularly,We take the Times every day,wordnet,TRUE,
take,drive.v.16,proceed along in a vehicle,We take the turnpike to work,hand_written,FALSE,
taste,taste.v.05,distinguish flavors,We tasted wines last night,wordnet,TRUE,
money,money.n.01,the most common medium of exchange; functions as legal tender,We tried to collect the money he owed us,wordnet,TRUE,
dump,dump.v.03,sell at artificially low prices,We try not to dump our books,hand_written,TRUE,
walk,walk.v.01,use one's feet to advance; advance by steps,We walked instead of driving,wordnet,TRUE,
cat,big_cat.n.01,any of several large cats typically able to roar and living in the wild,We went on a safari and saw a big cat,hand_written,TRUE,
see,visit.v.01,"go to see a place, as for entertainment",We went to see the Eiffel Tower in the morning,wordnet,TRUE,
asleep,asleep.a.01,in a state of sleep,We were all asleep when the phone rang,wordnet,TRUE,
hit,hit.v.05,"affect or afflict suddenly, usually adversely",We were hit by really bad weather,wordnet,TRUE,
carrots,carrot.n.01,deep orange edible root of the cultivated carrot plant,We will harvest the carrots soon,hand_written,TRUE,
get,pay_back.v.02,take vengeance on or get even,We'll get them!,wordnet,TRUE,
swing,swing.n.02,mechanical device used as a plaything to support someone swinging back and forth,We'll go on the swing in a little while,childes,TRUE,
glasses,glass.n.03,the quantity a glass will hold,We'll have some glasses of water,hand_written,FALSE,
potato,potato.n.01,an edible tuber native to South America; a staple food of Ireland,We'll just go into the kitchen and get the potatos,childes,TRUE,
chicken,chicken.n.01,the flesh of a chicken used for food,We're having chicken for dinner,hand_written,FALSE,
jacket,jacket.n.04,the outer skin of a potato,We're having jacket potatoes for dinner,hand_written,TRUE,
soup,soup.n.03,an unfortunate situation,We're in the soup now,wordnet,TRUE,
hose,hosiery.n.01,socks and stockings and tights collectively (the British include underwear),"Wear a hose with your dress, it's cold outside",hand_written,TRUE,
hurry,travel_rapidly.v.01,move very fast,Were you trying to hurry up?,childes,TRUE,
wet,wet.a.02,containing moisture or volatile components,Wet paint,wordnet,TRUE,
feed,feed.v.06,take in food; used of animals only,Whales feed on krill,hand_written,TRUE,
flag,iris.n.01,plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals,What a beautiful field of flags,hand_written,TRUE,
little,little.s.03,"(of children and animals) young, immature",What a big little boy you are,wordnet,TRUE,
boots,bang.n.04,the swift release of a store of affective force,What a boot!,wordnet,FALSE,
cat,cat.n.03,a spiteful woman gossip,What a cat she is!,wordnet,TRUE,
dish,smasher.n.02,a very attractive or seductive looking woman,What a dish,hand_written,TRUE,
nice,nice.a.01,pleasant or pleasing or agreeable in nature or appearance,What a nice fellow you are and we all thought you so nasty,wordnet,TRUE,
drive,drive.v.11,move into a desired direction of discourse,What are you driving at?,wordnet,FALSE,
get,drive.v.11,move into a desired direction of discourse,What are you getting at?,hand_written,TRUE,
get,get.v.22,purchase,What did you get at the toy store?,wordnet,TRUE,
have,have.v.10,be confronted with,What do we have here?,wordnet,TRUE,
get,get.v.20,reach by calculation,What do you get when you add up these numbers?,wordnet,TRUE,
say,read.v.02,have or contain a certain wording or form,What does the law say?,wordnet,TRUE,
say,say.v.07,communicate or express nonverbally,What does this painting say?,wordnet,TRUE,
give,give.v.42,occur,What gives?,wordnet,TRUE,
donut,doughnut.n.02,a small ring-shaped friedcake,What if they don't have sprinkle donuts would you like a different kind?,childes,TRUE,
book,bible.n.01,the sacred writings of the Christian religions,What is your favorite passage from The Book?,hand_written,FALSE,
melon,melon.n.02,any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers,What kind of melon are you growing in your garden?,hand_written,TRUE,
